Id	Name	NotIdentifiedName 	Notes
539	에보네스트	특수 창	"퀘스트 아이템: 찰스 퀴호테의 개인 드래곤 사냥드래곤 창, 에보니스트는 참으로 훌륭한 무기입니다. 드래곤을 상대할 때, 이 창은 드래곤의 단단한 비늘 사이의 틈을 정확하게 조준하는 듯합니다."
540	휘슬본의 검	특수 양손검	퀘스트 아이템: 휘슬본즈 가문이 가문의 가보로 이처럼 사나운 무기를 선택했다는 것은 드래곤 사냥이라는 가업에 대한 그들의 헌신을 잘 보여줍니다.
541	발타자르의 도끼	특수 양손 도끼	퀘스트 아이템: 미노타우로스 왕들은 왕관을 쓰지 않습니다. 대신 그들의 권위를 나타내는 상징으로 최고급 장인의 손길이 닿은 거대한 도끼를 휘두릅니다. 이 도끼는 발타자르가 보리 서리 거인들에게 배신당했을 때 잃어버린 것입니다. 강력한 마법이 걸려 있다는 것은 분명하며, 전투에서 사용하면 일반적인 피해와 함께 얼어붙을 듯한 냉기를 가합니다.
542	노블본 활	특수 활	크리건 뼈로 만든 활은 매우 귀하게 여겨집니다. 재질이 튼튼하고 마법 부여도 잘 되기 때문입니다. 특히 악마 종족의 옛 지배 계급이었던 크리건의 뼈가 가장 귀하게 평가받습니다.
543	생명의 순환	특수 반지	(공유된 삶, 인내력 + 20) 단순한 금속(구리 또는 황동?)으로 만들어진 반지로, 만지면 따뜻하다.
544	artifact 544	0	artifact 544
545	artifact 545	0	artifact 545
546	artifact 546	0	artifact 546
547	artifact 547	0	artifact 547
548	artifact 548	0	artifact 548
549	artifact 549	0	artifact 549
550	artifact 550	0	artifact 550
551	artifact 551	0	artifact 551
552	artifact 552	0	artifact 552
553	artifact 553	0	artifact 553
554	artifact 554	0	artifact 554
555	artifact 555	0	artifact 555
556	artifact 556	0	artifact 556
557	artifact 557	0	artifact 557
558	artifact 558	0	artifact 558
559	artifact 559	0	artifact 559
560	artifact 560	0	artifact 560
561	artifact 561	0	artifact 561
562	artifact 562	0	artifact 562
563	artifact 563	0	artifact 563
564	artifact 564	0	artifact 564
565	artifact 565	0	artifact 565
566	artifact 566	0	artifact 566
567	artifact 567	0	artifact 567
568	artifact 568	0	artifact 568
569	artifact 569	0	artifact 569
570	artifact 570	0	artifact 570
571	artifact 571	0	artifact 571
572	artifact 572	0	artifact 572
573	artifact 573	0	artifact 573
574	artifact 574	0	artifact 574
575	artifact 575	0	artifact 575
576	artifact 576	0	artifact 576
577	artifact 577	0	artifact 577
578	artifact 578	0	artifact 578
579	artifact 579	0	artifact 579
580	artifact 580	0	artifact 580
581	artifact 581	0	artifact 581
582	artifact 582	0	artifact 582
583	artifact 583	0	artifact 583
584	artifact 584	0	artifact 584
585	artifact 585	0	artifact 585
586	artifact 586	0	artifact 586
587	artifact 587	0	artifact 587
588	artifact 588	0	artifact 588
589	artifact 589	0	artifact 589
590	artifact 590	0	artifact 590
591	artifact 591	0	artifact 591
592	artifact 592	0	artifact 592
593	artifact 593	0	artifact 593
594	artifact 594	0	artifact 594
595	artifact 595	0	artifact 595
596	artifact 596	0	artifact 596
597	artifact 597	0	artifact 597
598	artifact 598	0	artifact 598
599	artifact 599	0	artifact 599
600	quest item 600	0	quest item 600
601	quest item 601	0	quest item 601
602	허위 보고서	보고서	퀘스트 아이템: 아리온 헌터가 레그나에 있는 드레드 해적 스탠리에게 전달해 달라고 준 편지.
603	유골 항아리	유골함	"퀘스트 아이템: 트롤 오버듄 스냅핑거가 당신에게 맡긴 장례용 항아리. 그 안에는 그의 형제인 바일바이트의 유골이 들어 있습니다."
604	나이트셰이드 화로	화로	퀘스트 아이템: 이 화로는 어둠의 마법이 지닌 섬뜩한 기운을 내뿜고 있다. 역청과 유황 냄새가 강하게 난다.
605	드래곤 우두머리의 알	알	퀘스트 아이템: 이 드래곤의 알은 곧 부화할 것 같습니다. 알 속의 작은 생명체가 가끔 바스락거리는 소리로 존재를 알립니다.
606	불의 심장	심장석	"퀘스트 아이템: 불의 심장은 순수한 원소의 힘으로 이루어진 보석으로, 흠집 하나 없이 깨끗하며 무게는 최소 100캐럿에 달합니다. 이 보석으로 만든 마법 아이템은 틀림없이 엄청난 위력을 지닐 것입니다."
607	물의 심장	심장석	"퀘스트 아이템: '물의 심장'은 순수한 원소의 힘으로 이루어진 보석으로, 흠집 하나 없이 깨끗하며 무게는 최소 100캐럿에 달합니다. 이 보석으로 만든 마법 아이템은 틀림없이 엄청난 위력을 지닐 것입니다."
608	공기의 심장	심장석	"퀘스트 아이템: 공기의 심장은 순수한 원소의 힘으로 이루어진 보석으로, 흠집 하나 없이 깨끗하며 무게는 최소 100캐럿에 달합니다. 이 보석으로 만든 마법 아이템은 틀림없이 엄청난 위력을 지닐 것입니다."
609	대지의 심장	심장석	"퀘스트 아이템: 대지의 심장은 순수한 원소의 힘으로 이루어진 보석으로, 흠집 하나 없이 깨끗하며 무게는 최소 100캐럿에 달합니다. 이 보석으로 만든 마법 아이템은 틀림없이 엄청난 위력을 지닐 것입니다."
610	컨플럭스 열쇠	열쇠	"퀘스트 아이템: 크산토르는 네 개의 원소 심장 보석을 사용하여 당신을 위해 이 강력한 차원 간 열쇠를 만들었습니다. 그는 이 열쇠가 레이븐쇼어와 신비로운 차원 사이의 영역을 연결하는 수정 관문을 열 것이라고 말합니다."
611	켈의 잃어버린 책	책	"퀘스트 아이템: 한때 ""잃어버린"" 케흘의 책. 어떤 이들은 그가 마지막 시대의 가장 위대한 강령술사였다고 말한다. 정교하게 양각된 표지를 바라보면 섬뜩한 기운이 감돈다. 마치 사악한 기운이 꿈틀거리는 듯하다."
612	코르부의 석관	석관	"퀘스트 아이템: 코르부의 석관은 하나의 회색 돌덩이를 정성스럽게 깎아 만들었음에도 불구하고, 이상하게도 믿을 수 없을 정도로 가볍습니다. 꽉 닫히는 뚜껑을 열면 몰약과 퀴퀴한 무덤 냄새가 강하게 풍겨 나옵니다."
613	퍼즐 상자	상자	"퀘스트 아이템: 이 작은 상감 상자의 움직이는 판들을 아무리 움직여도 뚜껑은 닫혀 있습니다. 흔들어 보면 안에서 무언가 덜그럭거리는 소리가 들립니다. 마치 커다란 견과류나 구슬 같은 소리입니다."
614	무덤 흙 약병	약병	퀘스트 아이템: 이것은 당신이 섀도스파이어의 뱀파이어 무덤에서 훔친 흙이 담긴 작은 병입니다.
615	승리의 북	북	"퀘스트 아이템: 이 마법 아이템의 속성은 당신에게 알려지지 않았습니다. 북채로 북면을 두드리면, 그 소리가 하늘 천장에 메아리치는 듯한 울림을 만들어냅니다."
616	축성된 약초 물약	물약병	"퀘스트 아이템: 이 물약은 마법적인 효능은 없지만, 재료들은 매우 엄격한 의식 조건을 거쳐 모아졌습니다. 예를 들어 가시나무껍질 가루는 정오 일식의 절정기에 벗겨낸 나무껍질을 은제 절구에 갈아서 만든 것입니다. 이 물약 전체는 예언자의 개인 제단에 100년 넘게 보관되어 있었습니다."
617	힘의 돌	돌	퀘스트 아이템: 어둡고 유리처럼 투명한 암석으로 조각된 돌. 두드리면 높은 종소리가 납니다.
618	힘의 돌	돌	퀘스트 아이템: 어둡고 유리처럼 투명한 암석으로 만든, 다면체 조각이 된 돌. 두드리면 중간 정도의 종소리가 납니다.
619	해적 두목의 열쇠	열쇠	퀘스트 아이템: 블랙웰 쿠퍼의 시체에서 가져온 열쇠.
620	감옥 열쇠	열쇠	퀘스트 아이템: 던전 감옥 문 자물쇠에 흔히 사용되는 종류의 열쇠.
621	감옥 열쇠	열쇠	퀘스트 아이템: 던전 감옥 문 자물쇠에 흔히 사용되는 종류의 열쇠.
622	quest item 622	0	quest item 622
623	복원의 보석	보석	"퀘스트 아이템: 이 커다란 루비는 완벽한 품질을 자랑하며, 속까지 맑고 비둘기 피처럼 붉은색을 띠고 있습니다. 강력한 마법이 깃들어 있으며, 마치 잠자는 심장처럼 미세하게 맥동합니다."
624	충전된 연결석	보석	시간 여행을 통해 에너지를 얻은 매끄럽고 반투명한 연결석.
625	연결석	보석	특정한 색상이 없는 매끄러운 돌.
626	태양의 예언	책	"퀘스트 아이템: 이 책 속의 글은 마치 미치광이의 횡설수설처럼 읽힌다. 하지만 누군가는 이 책을 높이 평가했던 것이 분명하다. 모든 글자는 화려한 필체로 손으로 직접 쓰여 있다. 삽입된 삽화들은 이야기 속 장면들을 생생하게 묘사하는데, 그 장면들은 섬뜩하거나, 기괴하거나, 혹은 악몽에서 튀어나온 듯하다."
627	코르부의 유해	유해	"퀘스트 아이템: 역사상 가장 강력한 뱀파이어였다고 전해지는 코르부의 유해. 하지만 그의 모습은 이제 볼품없습니다. 그의 해골은 거의 완전히 해체되었는데, 의도적인 것인지 아니면 세월의 흐름 때문인지는 알 수 없지만, 갈비뼈 안에는 나무 말뚝이 박혀 있습니다."
628	리치 항아리	항아리	퀘스트 아이템: 잘 만들어진 항아리.
629	열쇠고리	열쇠고리	퀘스트 아이템: 열쇠와 반지는 모두 당신이 전에 본 적 없는 금속으로 만들어졌습니다. 열쇠 머리에 박힌 보석은 당신에게 익숙합니다. 그것들은 크산토르가 당신을 위해 만든 융합 열쇠에 박힌 것과 같은 원소 심장석입니다.
630	뱀의 우상	우상	퀘스트 아이템: 과거 단검상섬에 거주했던 뱀인간들이 숭배했던 고대 뱀신의 우상.
631	커다란 황동 고리	반지	퀘스트 아이템: 윤이 나는 황동으로 된 커다란 고리. 문고리의 일부인 것 같습니다.
632	나가 가죽	가죽	나가의 껍질을 벗기고 긁어낸 가죽.
633	다이어 울프 가죽	모피	껍질을 벗기고 긁어낸 다이어 울프의 가죽.
634	피리	피리	퀘스트 아이템: 정교하게 제작된 악기.
635	왕실 말벌 젤리	젤리	왕벌 젤리 한 병.
636	드래곤베인 꽃	드래곤베인 꽃	퀘스트 아이템: 싱싱한 용독꽃 한 송이. 꽃잎은 두껍고 윤기가 난다.
637	파멸의 뼈	뼈	"퀘스트 아이템: 전설적인 강령술사 자카리아의 팔뼈. 이 뼈에는 죽음의 마법사의 사악한 기운이 깃들어 있다."
638	드루이드의 힘의 머리장식	머리장식	고대 시대부터 전해 내려온다는 전설적인 아이템. 오직 대드루이드의 힘을 가진 자만이 이 아이템을 착용할 수 있다.
639	신비의 열쇠	열쇠	퀘스트 아이템: 집중되지 않은 마법 에너지를 담고 있는 보석.
640	와이번 뿔	뿔	와이번에게서 얻은 뿔.
641	오우거 열쇠	열쇠	퀘스트 아이템: 집중되지 않은 마법 에너지를 담고 있는 보석.
642	해적 모자	모자	"퀘스트 아이템: 해적 선장의 모자. 모자 안쪽 띠에는 ""D. P. 스탠리""라는 글자가 수놓아져 있다."
643	토베르스크 과일	과일	단검상 제도에서만 자라는 토베르스크 관목의 열매. 이 열매는 섬에 사는 도마뱀 인간들의 주요 수출품이다.
644	토베르스크 펄프	과육	대거 운드 제도에서 재배한 토베르스크 열매로 만든 펄프.
645	토베르스크 브랜디	브랜디	대거 운드 제도에서 재배한 토베르스크 열매의 가공된 과육으로 만든 브랜디.
646	자다메의 심재	목재	머머우드 숲의 서늘한 기후 덕분에 그곳의 나무들은 촘촘한 나뭇결을 가지며 자랍니다. 이 목재 판재는 나뭇결이 선명한 심재로 만들어졌습니다.
647	결함 있는 부적	나무 상자	섀도스파이어 장인들이 만든 상자입니다. 제작상의 작은 결함 때문에 마법을 걸 수 없습니다.
648	말린 개복치	나무 상자	"이파린 해에서 잡은 말린 붕어 한 상자. 어떤 사람들은 쫄깃하고 짭짤한 이 생선을 진미로 여긴다."
649	바다의 은가루	나무 상자	"은가루가 자루에 담겨 가득 담긴 상자. 강령술사 길드에서 만든 이 은가루는 일부 해상 여행자들에게 가치가 있다고 전해진다."
650	위조 전표	상품권	오우거 마법사 조그가 알바르 상인 고객들의 금화를 횡령하기 위해 사용한 위조 신용 서류.
651	간 와이번 뿔	와이번 뿔 가루	섀도스파이어의 네크로맨서들이 사용하는 강력한 물약 제조 재료.
652	뱀의 예언	책	"퀘스트 아이템: 최근 유포되고 있는 여러 예언서 중 하나인 '뱀의 예언'은 자다메의 미래를 예언하고 있을지도 모릅니다."
653	오우거 귀	귀	"일부 현상금 사냥꾼들은 사살 횟수를 기록하기 위해 과거 전투의 끔찍한 흔적들을 수집하기도 합니다."
654	말벌 침	독침	거대 말벌의 침.
655	녹색 사과	사과	"자다메산 녹색 사과는 아삭하고 약간 새콤하며 영양이 풍부합니다. (사과를 사용하려면 사과를 집어 인벤토리 화면에서 캐릭터 초상화를 왼쪽 클릭하십시오.)"
656	편자	편자	"이 흠잡을 데 없는 말굽은 은으로 만들어졌습니다. 사용하려면 말굽을 집어 들고 캐릭터 초상화 위에서 마우스 오른쪽 버튼을 클릭하세요."
657	마법의 부적	부적	"레그나 해적들이 좋아하는 예쁜 장신구로, 마법적인 효능 때문이 아니라 외형적인 아름다움 때문입니다."
658	프렐랑도 치즈 한 덩이	치즈	"퀘스트 아이템: 귀한 유니콘 젖으로 만든 프렐란도 치즈 한 덩어리. 크래커 위에 얇게 썰어 얹으면 고급 토베르스크 브랜디 한 잔과 완벽한 조화를 이룹니다."
659	엘덴브리 치즈 덩어리	치즈	"퀘스트 아이템: 보리 엘덴브리 치즈 한 덩어리. 수많은 이들이 은은한 훈연향을 가진 이 치즈를 흉내 내려 했지만, 얼어붙은 보리 황무지의 서리 거인 치즈 장인들만이 그 제조법을 알고 있다."
660	던덕 치즈 덩이	치즈	"퀘스트 아이템: 던덕 치즈 한 덩어리. 에라시아의 고블린들이 소량씩 만드는 이 치즈는 호불호가 갈리는 맛으로 알려져 있습니다."
661	쏜 황제의 열쇠	열쇠	퀘스트 아이템: 유니콘 왕의 시체에서 가져온 열쇠.
662	도미니언의 포탄	포탄	퀘스트 아이템: 레그나 요새에서 가져온 이상한 포탄. 지금까지 본 적 없는 형태의 탄약입니다.
663	마력이 주입된 금속 막대	금속 막대	금속 막대.
664	커다란 구형 수정	둥근 수정	크고 매끄럽고 완벽하게 둥근 크리스탈.
665	위스프 싸개	위스프 붕대	썩은 천 조각들.
666	텔레로케이터	텔레로케이터	매끄러운 보석이 꼭대기에 박힌 금속 막대.
667	quest item 667	0	quest item 667
668	quest item 668	0	quest item 668
669	quest item 669	0	quest item 669
670	quest item 670	0	quest item 670
671	quest item 671	0	quest item 671
672	quest item 672	0	quest item 672
673	quest item 673	0	quest item 673
674	quest item 674	0	quest item 674
675	quest item 675	0	quest item 675
676	quest item 676	0	quest item 676
677	quest item 677	0	quest item 677
678	quest item 678	0	quest item 678
679	quest item 679	0	quest item 679
680	quest item 680	0	quest item 680
681	quest item 681	0	quest item 681
682	quest item 682	0	quest item 682
683	quest item 683	0	quest item 683
684	quest item 684	0	quest item 684
685	quest item 685	0	quest item 685
686	철 함유 광석	광석 덩어리	"철이 함유된 작은 광석 덩어리. 숙련된 장인의 손에 들어가면 이것으로 무기, 부적, 반지, 갑옷 또는 거의 모든 유용한 물건을 만들 수 있다."
687	시에르탈 함유 광석	광석 덩어리	"시에르탈이 함유된 작은 광석 조각. 강철보다 강하고 가벼운 시에르탈은 숙련된 장인의 손에서 뛰어난 무기, 부적, 반지, 갑옷 또는 거의 모든 유용한 물건을 만들 수 있습니다."
688	필트 함유 광석	광석 덩어리	"필트가 함유된 작은 광석 조각입니다. 필트는 강철 합금에 자주 사용되어 강철의 내구성과 마법 부여 가능성을 높입니다. 숙련된 장인의 손에서 필트는 무기, 부적, 반지, 갑옷 또는 거의 모든 유용한 물건을 만들 수 있습니다."
689	케르가르 함유 광석	광석 덩어리	"케르가르가 함유된 작은 광석 조각입니다. 케르가르는 강철과 많은 특성을 공유하지만, 마법을 부여하기가 훨씬 쉽습니다. 숙련된 장인의 손에서 케르가르는 마법 무기, 부적, 반지, 갑옷 또는 거의 모든 다른 아이템을 쉽게 만들 수 있습니다."
690	에루딘 함유 광석	광석 덩어리	"에루딘이 함유된 작은 광석 조각. 에라시아의 몇몇 지역에서만 발견되는 희귀한 마법 광석인 에루딘은 숙련된 장인의 손에서 강력한 무기, 부적, 반지, 갑옷 또는 거의 모든 다른 물건을 만들 수 있습니다."
691	스탈트 함유 광석	광석 덩어리	"작은 덩어리의 철광석 조각으로, 마법 부여가 쉽고 흑요석만큼 단단합니다. 숙련된 장인의 손에서 철광석은 엄청나게 강력한 무기, 부적, 반지, 갑옷 또는 거의 모든 다른 아이템을 만들 수 있습니다."
692	quest item 692	0	quest item 692
693	quest item 693	0	quest item 693
694	quest item 694	0	quest item 694
695	quest item 695	0	quest item 695
696	quest item 696	0	quest item 696
697	quest item 697	0	quest item 697
698	quest item 698	0	quest item 698
699	quest item 699	0	quest item 699
700	회춘 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
701	순수한 힘 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
702	순수한 정확도 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
703	순수한 인격 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
704	순수한 체력 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
705	순수한 지력 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
706	순수한 속도 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
707	순수한 행운 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
708	살상 물약 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
709	석화 해제 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
710	힘 강화 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
711	지력 강화 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
712	인격 강화 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
713	체력 강화 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
714	속도 강화 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
715	정확도 강화 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
716	화염 물약 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
717	냉기 물약 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
718	맹독 물약 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
719	전격 물약 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
720	신속 물약 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
721	마비 치료 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
722	신성한 회복 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
723	신성한 치유 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
724	신성한 힘 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
725	행운 강화 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
726	불 저항 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
727	공기 저항 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
728	물 저항 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
729	대지 저항 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
730	정신 저항 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
731	육체 저항 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
732	인증서	증서	"다데로스가 쓴 증명서입니다. (읽으려면 증명서를 집어 들고 등장인물의 초상화를 오른쪽 클릭하십시오.)"
733	일기 조각	일지 조각	"여행 일기에서 찢어낸 페이지입니다. (읽으려면 페이지를 집어 들고 등장인물의 초상화를 오른쪽 클릭하십시오.)"
734	일기 조각	일지 조각	"여행 일기에서 찢어낸 페이지입니다. (읽으려면 페이지를 집어 들고 등장인물의 초상화를 오른쪽 클릭하십시오.)"
735	일기 조각	일지 조각	"여행 일기에서 찢어낸 페이지입니다. (읽으려면 페이지를 집어 들고 등장인물의 초상화를 오른쪽 클릭하십시오.)"
736	일기 조각	일지 조각	"여행 일기에서 찢어낸 페이지입니다. (읽으려면 페이지를 집어 들고 등장인물의 초상화를 오른쪽 클릭하십시오.)"
737	일기 조각	일지 조각	"여행 일기에서 찢어낸 페이지입니다. (읽으려면 페이지를 집어 들고 등장인물의 초상화를 오른쪽 클릭하십시오.)"
738	일기 조각	일지 조각	"여행 일기에서 찢어낸 페이지입니다. (읽으려면 페이지를 집어 들고 등장인물의 초상화를 오른쪽 클릭하십시오.)"
739	일기 조각	일지 조각	"여행 일기에서 찢어낸 페이지입니다. (읽으려면 페이지를 집어 들고 등장인물의 초상화를 오른쪽 클릭하십시오.)"
740	일기 조각	일지 조각	"여행 일기에서 찢어낸 페이지입니다. (읽으려면 페이지를 집어 들고 등장인물의 초상화를 오른쪽 클릭하십시오.)"
741	다데로스가 펠문에게 보낸 편지	편지	"퀘스트 아이템: 다데로스가 엘가 펠문에게 보낸 편지. (편지를 읽으려면 편지를 집어 들고 캐릭터 초상화를 오른쪽 클릭하십시오.)"
742	협박 편지	편지	"퀘스트 아이템: 엘가르 펠문이 아리온 헌터에게 보낸 편지. (편지를 읽으려면 편지를 집어 들고 캐릭터 초상화를 오른쪽 클릭하십시오.)"
743	일기 조각	일지 조각	"알바르의 버려진 캠프에서 발견된, 거의 너덜너덜해진 일기장의 한 페이지입니다. (읽으려면 일기장을 집어 들고 등장인물의 초상화를 오른쪽 클릭하십시오.)"
744	시간의 금고의 역사	역사서	"시간의 금고에 관한 책입니다. (읽으려면 책을 집어 들고 등장인물의 초상화를 오른쪽 클릭하십시오.)"
745	대거 운드의 기이한 현상	일지 쪽지	"프레드릭 탈리미어가 직접 쓴 일기입니다. (읽으려면 일기를 집어 들고 등장인물의 초상화를 오른쪽 클릭하십시오.)"
746	아리온 헌터에게 보내는 편지	편지	"조그가 아리온 헌터에게 보낸 편지 (읽으려면 편지를 집어 들고 캐릭터 초상화를 오른쪽 클릭하십시오.)"
747	책에서 찢어낸 페이지	찢어진 페이지	"책에서 찢어낸 페이지입니다. 상인 가문 도서관에서 발견하셨죠. (읽으려면 페이지를 집어 들고 등장인물의 초상화를 오른쪽 클릭하십시오.)"
748	참고 사항 - 긴급 회의	쪽지	"급하게 휘갈겨 쓴 메모가 두루마리처럼 말려 있습니다. (읽으려면 두루마리를 집어 들고 등장인물의 초상화를 오른쪽 클릭하십시오.)"
749	대포 설계 참고 사항	쪽지	"레그나 요새에서 발견한 메모입니다. (읽으려면 두루마리를 집어 들고 등장인물의 초상화를 오른쪽 클릭하십시오.)"
750	오래된 두루마리	두루마리	"버려진 신전에서 찾은 두루마리는 수백 년 된 것 같습니다. (읽으려면 두루마리를 집어 들고 캐릭터 초상화 위에서 마우스 오른쪽 버튼을 클릭하세요.)"
751	신성한 강화 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
752	신성한 보호 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
753	신성한 초월 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
754	행운의 정수 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
755	신들의 물약 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
756	파멸의 물약 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
757	순수한 불 저항 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
758	순수한 공기 저항 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
759	순수한 물 저항 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
760	순수한 대지 저항 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
761	순수한 정신 저항 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
762	순수한 육체 저항 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
763	힘의 정수 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
764	지력의 정수 제조법	물약 제조법	"메시지 두루마리입니다. 내용을 읽으려면 두루마리를 집어 든 뒤 캐릭터 초상화를 오른쪽 클릭하십시오."
